Date,Open,High,Low,Close,Volume,Market Cap,Created_At,Sum of retweet_count,Sum of favorite_count,Avg Retweet,Avg favorite_count,Google Trends,Num_upvotes,Avg_Up_Ratio,Post_Count,Comments_Count,Dependent Variable
7/29/2017,7.09,7.46,6.76,7.26,10518400,354258000,5,97,87,19.4,17.4,61,101,1,2,21,1
7/28/2017,7.75,7.88,6.93,7.09,15725800,387410000,8,331,437,41.375,54.625,61,101,1,2,6,0
7/27/2017,7.22,7.94,7.13,7.72,15251100,360772000,17,289,358,17,21.05882353,59,0,0,0,0,1
7/26/2017,7.33,7.59,6.58,7.17,16765600,366562000,6,108,24,18,4,59,197,0.995,2,17,0
7/25/2017,8.48,8.48,6.88,7.35,19480400,423876000,3,298,0,99.33333333,0,59,70,0.99,1,32,0
7/24/2017,8.61,8.81,8.19,8.46,21283700,430471000,15,381,383,25.4,25.53333333,58,113,0.92,1,41,0
7/23/2017,8.64,8.93,7.76,8.57,29915100,431881000,7,92,189,13.14285714,27,61,0,0,0,0,0
7/22/2017,7.39,9.12,7.31,8.62,32890800,369727000,2,271,364,135.5,182,60,92,0.98,2,36,1
7/21/2017,7.24,7.97,7.03,7.42,21298000,361826000,4,740,421,185,105.25,58,199,0.975,4,55,1
7/20/2017,5.89,7.47,5.89,7.21,25476100,294317000,2,151,257,75.5,128.5,58,116,0.99,2,4,1
7/19/2017,6.04,6.23,5.65,5.88,14255500,301935000,1,20,44,20,44,59,129,0.98,2,14,0
7/18/2017,5.77,6.29,5.51,6.02,18101700,288470000,0,0,0,0,0,59,169,0.89,1,41,1
7/17/2017,5.06,5.85,5.03,5.77,15013000,253054000,2,30,9,15,4.5,60,194,0.97,3,79,1
7/16/2017,5.03,5.27,4.83,5.04,9498420,251399000,2,135,35,67.5,17.5,63,45,0.96,1,11,1
7/15/2017,5.55,5.55,4.98,5.03,11294200,277400000,2,228,170,114,85,61,96,0.93,2,14,0
7/14/2017,6.27,6.29,5.42,5.54,12351000,313433000,2,129,4,64.5,2,58,41,1,1,3,0
7/13/2017,6.68,6.95,5.91,6.29,17824000,334240000,4,107,133,26.75,33.25,59,0,0,0,0,0
7/12/2017,5.31,6.69,5.07,6.63,23337300,265564000,2,96,182,48,91,61,0,0,0,0,1
7/11/2017,5.93,6.11,4.83,5.4,20182900,296309000,1,3,3,3,3,60,0,0,0,0,0
7/10/2017,6.91,6.96,5.58,6.03,11395300,345719000,13,248,440,19.07692308,33.84615385,62,141,0.95,2,38,0
7/9/2017,7.4,7.62,6.87,6.9,10422500,370072000,3,10,18,3.333333333,6,64,0,0,0,0,0
7/8/2017,6.79,7.63,5.91,7.45,24138500,339382000,10,573,463,57.3,46.3,63,0,0,0,0,1
7/7/2017,7.83,7.89,6.74,6.77,16409500,391569000,1,3,7,3,7,59,0,0,0,0,0
7/6/2017,7.98,8.34,7.69,7.84,17932500,399093000,3,23,17,7.666666667,5.666666667,60,52,0,1,4,0
7/5/2017,7.77,8.66,7.23,8.03,29368100,388453000,3,12,29,4,9.666666667,62,62,0.95,1,7,1
7/4/2017,8.22,8.49,7.77,7.78,15781600,410831000,6,38,10,6.333333333,1.666666667,62,0,0,0,0,0
7/3/2017,8.06,8.48,7.52,8.22,28820400,402786000,0,0,0,0,0,60,110,0.975,2,12,1
7/2/2017,7.96,8.51,6.75,8.1,47478700,397988000,3,3,9,1,3,65,33,0.97,1,8,1
7/1/2017,8.77,9.24,7.74,7.95,33128400,438293000,18,317,265,17.61111111,14.72222222,65,38,1,1,3,0
6/30/2017,9.72,10,8.6,8.73,43355500,485988000,7,45,14,6.428571429,2,60,42,0.95,1,21,0
6/29/2017,8.34,10.07,7.91,9.77,77050000,416970000,2,0,2,0,1,60,201,0.946666667,3,71,1
6/28/2017,6.96,8.69,6.49,8.38,72982300,347826000,6,144,170,24,28.33333333,62,145,0.98,3,35,1
